model,n,p,seed,nr_cliques,max_clique,time_cliques
dense_gnp,35,0.7,4029,1005,10,2.354978
dense_gnp,35,0.7,482,878,9,0.780336
dense_gnp,35,0.7,56,981,11,0.847664
dense_gnp,35,0.7,7821,735,10,1.765308
dense_gnp,35,0.7,917,927,10,2.222908
dense_gnp,35,0.7,91928,991,10,0.888940
dense_gnp,35,0.7,92839,629,9,0.575073
dense_gnp,35,0.7,9291,812,10,1.919657
dense_gnp,35,0.7,934,1156,11,0.973518
dense_gnp,35,0.7,93728,1071,10,2.199093
dense_gnp,35,0.7,94029,1105,9,2.463092
dense_gnp,35,0.7,9482,884,9,0.900534
dense_gnp,35,0.7,956,1037,10,0.885797
dense_gnp,35,0.7,97821,1004,10,2.452686
superdense_gnp,35,0.885714,17,2184,16,1.731435
superdense_gnp,35,0.885714,1928,3062,16,2.336191
superdense_gnp,35,0.885714,2839,2679,18,1.933206
